TEMPERATURA,PRESION,ETAPA,PROCESO,OPERARIO,EVENTOS,Date,Time
43.8,-0.9,3,3,3,0,2024/04/27,PM 07:45:36
43.8,-0.9,3,3,3,0,2024/04/27,PM 07:45:36
43.8,-0.9,3,3,3,0,2024/04/27,PM 07:45:36
43.8,-0.9,3,3,3,0,2024/04/27,PM 07:45:36
43.8,-0.9,3,3,3,0,2024/04/27,PM 07:45:36
43.8,-0.9,3,3,3,0,2024/04/27,PM 07:45:36
43.8,-0.9,3,3,3,0,2024/04/27,PM 07:45:36
50.0,-2.0,3,3,3,0,2024/04/27,PM 07:45:46
50.0,-2.0,3,3,3,0,2024/04/27,PM 07:45:46
50.0,-2.0,3,3,3,0,2024/04/27,PM 07:45:46
50.0,-2.0,3,3,3,0,2024/04/27,PM 07:45:46
50.0,-2.0,3,3,3,0,2024/04/27,PM 07:45:46
50.0,-2.0,3,3,3,0,2024/04/27,PM 07:45:46
50.0,-2.0,3,3,3,0,2024/04/27,PM 07:45:46
56.2,-2.7,3,3,3,0,2024/04/27,PM 07:45:56
56.2,-2.7,3,3,3,0,2024/04/27,PM 07:45:56
56.2,-2.7,3,3,3,0,2024/04/27,PM 07:45:56
56.2,-2.7,3,3,3,0,2024/04/27,PM 07:45:56
56.2,-2.7,3,3,3,0,2024/04/27,PM 07:45:56
56.2,-2.7,3,3,3,0,2024/04/27,PM 07:45:56
56.2,-2.7,3,3,3,0,2024/04/27,PM 07:45:56
60.3,-3.3,3,3,3,0,2024/04/27,PM 07:46:06
60.3,-3.3,3,3,3,0,2024/04/27,PM 07:46:06
60.3,-3.3,3,3,3,0,2024/04/27,PM 07:46:06
60.3,-3.3,3,3,3,0,2024/04/27,PM 07:46:06
60.3,-3.3,3,3,3,0,2024/04/27,PM 07:46:06
60.3,-3.3,3,3,3,0,2024/04/27,PM 07:46:06
60.3,-3.3,3,3,3,0,2024/04/27,PM 07:46:06
63.1,-3.7,3,3,3,0,2024/04/27,PM 07:46:16
63.1,-3.7,3,3,3,0,2024/04/27,PM 07:46:16
63.1,-3.7,3,3,3,0,2024/04/27,PM 07:46:16
63.1,-3.7,3,3,3,0,2024/04/27,PM 07:46:16
63.1,-3.7,3,3,3,0,2024/04/27,PM 07:46:16
63.1,-3.7,3,3,3,0,2024/04/27,PM 07:46:16
63.1,-3.7,3,3,3,0,2024/04/27,PM 07:46:16
65.1,-4.1,3,3,3,0,2024/04/27,PM 07:46:26
65.1,-4.1,3,3,3,0,2024/04/27,PM 07:46:26
65.1,-4.1,3,3,3,0,2024/04/27,PM 07:46:26
65.1,-4.1,3,3,3,0,2024/04/27,PM 07:46:26
65.1,-4.1,3,3,3,0,2024/04/27,PM 07:46:26
65.1,-4.1,3,3,3,0,2024/04/27,PM 07:46:26
65.1,-4.1,3,3,3,0,2024/04/27,PM 07:46:26
66.5,-4.4,3,3,3,0,2024/04/27,PM 07:46:36
66.5,-4.4,3,3,3,0,2024/04/27,PM 07:46:36
66.5,-4.4,3,3,3,0,2024/04/27,PM 07:46:36
66.5,-4.4,3,3,3,0,2024/04/27,PM 07:46:36
66.5,-4.4,3,3,3,0,2024/04/27,PM 07:46:36
66.5,-4.4,3,3,3,0,2024/04/27,PM 07:46:36
66.5,-4.4,3,3,3,0,2024/04/27,PM 07:46:36
66.9,-4.7,3,3,3,0,2024/04/27,PM 07:46:46
66.9,-4.7,3,3,3,0,2024/04/27,PM 07:46:46
66.9,-4.7,3,3,3,0,2024/04/27,PM 07:46:46
66.9,-4.7,3,3,3,0,2024/04/27,PM 07:46:46
66.9,-4.7,3,3,3,0,2024/04/27,PM 07:46:46
66.9,-4.7,3,3,3,0,2024/04/27,PM 07:46:46
66.9,-4.7,3,3,3,0,2024/04/27,PM 07:46:46
67.5,-4.9,3,3,3,0,2024/04/27,PM 07:46:56
67.5,-4.9,3,3,3,0,2024/04/27,PM 07:46:56
67.5,-4.9,3,3,3,0,2024/04/27,PM 07:46:56
67.5,-4.9,3,3,3,0,2024/04/27,PM 07:46:56
67.5,-4.9,3,3,3,0,2024/04/27,PM 07:46:56
67.5,-4.9,3,3,3,0,2024/04/27,PM 07:46:56
67.5,-4.9,3,3,3,0,2024/04/27,PM 07:46:56
67.9,-5.1,3,3,3,0,2024/04/27,PM 07:47:06
67.9,-5.1,3,3,3,0,2024/04/27,PM 07:47:06
67.9,-5.1,3,3,3,0,2024/04/27,PM 07:47:06
67.9,-5.1,3,3,3,0,2024/04/27,PM 07:47:06
67.9,-5.1,3,3,3,0,2024/04/27,PM 07:47:06
67.9,-5.1,3,3,3,0,2024/04/27,PM 07:47:06
67.9,-5.1,3,3,3,0,2024/04/27,PM 07:47:06
68.6,-5.3,3,3,3,0,2024/04/27,PM 07:47:16
68.6,-5.3,3,3,3,0,2024/04/27,PM 07:47:16
68.6,-5.3,3,3,3,0,2024/04/27,PM 07:47:16
68.6,-5.3,3,3,3,0,2024/04/27,PM 07:47:16
68.6,-5.3,3,3,3,0,2024/04/27,PM 07:47:16
68.6,-5.3,3,3,3,0,2024/04/27,PM 07:47:16
68.6,-5.3,3,3,3,0,2024/04/27,PM 07:47:16
69.3,-5.4,3,3,3,0,2024/04/27,PM 07:47:26
69.3,-5.4,3,3,3,0,2024/04/27,PM 07:47:26
69.3,-5.4,3,3,3,0,2024/04/27,PM 07:47:26
69.3,-5.4,3,3,3,0,2024/04/27,PM 07:47:26
69.3,-5.4,3,3,3,0,2024/04/27,PM 07:47:26
69.3,-5.4,3,3,3,0,2024/04/27,PM 07:47:26
69.3,-5.4,3,3,3,0,2024/04/27,PM 07:47:26
70.1,-5.5,3,3,3,0,2024/04/27,PM 07:47:36
70.1,-5.5,3,3,3,0,2024/04/27,PM 07:47:36
70.1,-5.5,3,3,3,0,2024/04/27,PM 07:47:36
70.1,-5.5,3,3,3,0,2024/04/27,PM 07:47:36
70.1,-5.5,3,3,3,0,2024/04/27,PM 07:47:36
70.1,-5.5,3,3,3,0,2024/04/27,PM 07:47:36
70.1,-5.5,3,3,3,0,2024/04/27,PM 07:47:36
70.7,-5.6,3,3,3,0,2024/04/27,PM 07:47:46
70.7,-5.6,3,3,3,0,2024/04/27,PM 07:47:46
70.7,-5.6,3,3,3,0,2024/04/27,PM 07:47:46
70.7,-5.6,3,3,3,0,2024/04/27,PM 07:47:46
70.7,-5.6,3,3,3,0,2024/04/27,PM 07:47:46
70.7,-5.6,3,3,3,0,2024/04/27,PM 07:47:46
70.7,-5.6,3,3,3,0,2024/04/27,PM 07:47:46
71.3,-5.7,3,3,3,0,2024/04/27,PM 07:47:56
71.3,-5.7,3,3,3,0,2024/04/27,PM 07:47:56
71.3,-5.7,3,3,3,0,2024/04/27,PM 07:47:56
71.3,-5.7,3,3,3,0,2024/04/27,PM 07:47:56
71.3,-5.7,3,3,3,0,2024/04/27,PM 07:47:56
71.3,-5.7,3,3,3,0,2024/04/27,PM 07:47:56
71.3,-5.7,3,3,3,0,2024/04/27,PM 07:47:56
71.5,-5.7,3,3,3,0,2024/04/27,PM 07:48:06
71.5,-5.7,3,3,3,0,2024/04/27,PM 07:48:06
71.5,-5.7,3,3,3,0,2024/04/27,PM 07:48:06
71.5,-5.7,3,3,3,0,2024/04/27,PM 07:48:06
71.5,-5.7,3,3,3,0,2024/04/27,PM 07:48:06
71.5,-5.7,3,3,3,0,2024/04/27,PM 07:48:06
71.5,-5.7,3,3,3,0,2024/04/27,PM 07:48:06
71.5,-5.8,3,3,3,0,2024/04/27,PM 07:48:16
71.5,-5.8,3,3,3,0,2024/04/27,PM 07:48:16
71.5,-5.8,3,3,3,0,2024/04/27,PM 07:48:16
71.5,-5.8,3,3,3,0,2024/04/27,PM 07:48:16
71.5,-5.8,3,3,3,0,2024/04/27,PM 07:48:16
71.5,-5.8,3,3,3,0,2024/04/27,PM 07:48:16
71.5,-5.8,3,3,3,0,2024/04/27,PM 07:48:16
71.7,0.2,4,3,3,0,2024/04/27,PM 07:48:26
71.7,0.2,4,3,3,0,2024/04/27,PM 07:48:26
71.7,0.2,4,3,3,0,2024/04/27,PM 07:48:26
71.7,0.2,4,3,3,0,2024/04/27,PM 07:48:26
71.7,0.2,4,3,3,0,2024/04/27,PM 07:48:26
71.7,0.2,4,3,3,0,2024/04/27,PM 07:48:26
71.7,0.2,4,3,3,0,2024/04/27,PM 07:48:26
88.2,9.0,4,3,3,0,2024/04/27,PM 07:48:36
88.2,9.0,4,3,3,0,2024/04/27,PM 07:48:36
88.2,9.0,4,3,3,0,2024/04/27,PM 07:48:36
88.2,9.0,4,3,3,0,2024/04/27,PM 07:48:36
88.2,9.0,4,3,3,0,2024/04/27,PM 07:48:36
88.2,9.0,4,3,3,0,2024/04/27,PM 07:48:36
88.2,9.0,4,3,3,0,2024/04/27,PM 07:48:36
104.3,15.8,4,3,3,0,2024/04/27,PM 07:48:46
104.3,15.8,4,3,3,0,2024/04/27,PM 07:48:46
104.3,15.8,4,3,3,0,2024/04/27,PM 07:48:46
104.3,15.8,4,3,3,0,2024/04/27,PM 07:48:46
104.3,15.8,4,3,3,0,2024/04/27,PM 07:48:46
104.3,15.8,4,3,3,0,2024/04/27,PM 07:48:46
104.3,15.8,4,3,3,0,2024/04/27,PM 07:48:46
108.5,8.6,3,3,3,0,2024/04/27,PM 07:48:56
108.5,8.6,3,3,3,0,2024/04/27,PM 07:48:56
108.5,8.6,3,3,3,0,2024/04/27,PM 07:48:56
108.5,8.6,3,3,3,0,2024/04/27,PM 07:48:56
108.5,8.6,3,3,3,0,2024/04/27,PM 07:48:56
108.5,8.6,3,3,3,0,2024/04/27,PM 07:48:56
108.5,8.6,3,3,3,0,2024/04/27,PM 07:48:56
101.9,3.7,3,3,3,0,2024/04/27,PM 07:49:06
101.9,3.7,3,3,3,0,2024/04/27,PM 07:49:06
101.9,3.7,3,3,3,0,2024/04/27,PM 07:49:06
101.9,3.7,3,3,3,0,2024/04/27,PM 07:49:06
101.9,3.7,3,3,3,0,2024/04/27,PM 07:49:06
101.9,3.7,3,3,3,0,2024/04/27,PM 07:49:06
101.9,3.7,3,3,3,0,2024/04/27,PM 07:49:06
96.6,1.1,3,3,3,0,2024/04/27,PM 07:49:16
96.6,1.1,3,3,3,0,2024/04/27,PM 07:49:16
96.6,1.1,3,3,3,0,2024/04/27,PM 07:49:16
96.6,1.1,3,3,3,0,2024/04/27,PM 07:49:16
96.6,1.1,3,3,3,0,2024/04/27,PM 07:49:16
96.6,1.1,3,3,3,0,2024/04/27,PM 07:49:16
96.6,1.1,3,3,3,0,2024/04/27,PM 07:49:16
92.3,-0.9,3,3,3,0,2024/04/27,PM 07:49:26
92.3,-0.9,3,3,3,0,2024/04/27,PM 07:49:26
92.3,-0.9,3,3,3,0,2024/04/27,PM 07:49:26
92.3,-0.9,3,3,3,0,2024/04/27,PM 07:49:26
92.3,-0.9,3,3,3,0,2024/04/27,PM 07:49:26
92.3,-0.9,3,3,3,0,2024/04/27,PM 07:49:26
92.3,-0.9,3,3,3,0,2024/04/27,PM 07:49:26
89.8,-1.7,3,3,3,0,2024/04/27,PM 07:49:36
89.8,-1.7,3,3,3,0,2024/04/27,PM 07:49:36
89.8,-1.7,3,3,3,0,2024/04/27,PM 07:49:36
89.8,-1.7,3,3,3,0,2024/04/27,PM 07:49:36
89.8,-1.7,3,3,3,0,2024/04/27,PM 07:49:36
89.8,-1.7,3,3,3,0,2024/04/27,PM 07:49:36
89.8,-1.7,3,3,3,0,2024/04/27,PM 07:49:36
88.2,-2.2,3,3,3,0,2024/04/27,PM 07:49:46
88.2,-2.2,3,3,3,0,2024/04/27,PM 07:49:46
88.2,-2.2,3,3,3,0,2024/04/27,PM 07:49:46
88.2,-2.2,3,3,3,0,2024/04/27,PM 07:49:46
88.2,-2.2,3,3,3,0,2024/04/27,PM 07:49:46
88.2,-2.2,3,3,3,0,2024/04/27,PM 07:49:46
88.2,-2.2,3,3,3,0,2024/04/27,PM 07:49:46
87.0,-2.8,3,3,3,0,2024/04/27,PM 07:49:56
87.0,-2.8,3,3,3,0,2024/04/27,PM 07:49:56
87.0,-2.8,3,3,3,0,2024/04/27,PM 07:49:56
87.0,-2.8,3,3,3,0,2024/04/27,PM 07:49:56
87.0,-2.8,3,3,3,0,2024/04/27,PM 07:49:56
87.0,-2.8,3,3,3,0,2024/04/27,PM 07:49:56
87.0,-2.8,3,3,3,0,2024/04/27,PM 07:49:56
85.8,-3.2,3,3,3,0,2024/04/27,PM 07:50:06
85.8,-3.2,3,3,3,0,2024/04/27,PM 07:50:06
85.8,-3.2,3,3,3,0,2024/04/27,PM 07:50:06
85.8,-3.2,3,3,3,0,2024/04/27,PM 07:50:06
85.8,-3.2,3,3,3,0,2024/04/27,PM 07:50:06
85.8,-3.2,3,3,3,0,2024/04/27,PM 07:50:06
85.8,-3.2,3,3,3,0,2024/04/27,PM 07:50:06
84.8,-3.5,3,3,3,0,2024/04/27,PM 07:50:16
84.8,-3.5,3,3,3,0,2024/04/27,PM 07:50:16
84.8,-3.5,3,3,3,0,2024/04/27,PM 07:50:16
84.8,-3.5,3,3,3,0,2024/04/27,PM 07:50:16
84.8,-3.5,3,3,3,0,2024/04/27,PM 07:50:16
